Country,1 category,2 category,Product,Year,Income in USD
Georgia,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,0
Georgia,No minero,Vitivinícola,Vinos,2017,0
Georgia,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,21,23
Bahrein,Minero,Minería,Minerales de hierro y sus concentrados,2017,66242887,04
Bahrein,Minero,Minería,Resto Minería,2017,0
Bahrein,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,1568337,69
Bahrein,No minero,Frutas y frutos ,Manzanas,2017,1389258,37
Bahrein,No minero,Frutas y frutos ,Uvas ,2017,120243,73
Bahrein,No minero,Frutas y frutos ,Kiwis,2017,43584
Bahrein,No minero,Frutas y frutos ,Peras,2017,129824
Bahrein,No minero,Frutas y frutos ,Arándanos,2017,26806,8
Bahrein,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,108000
Bahrein,No minero,Frutas y frutos ,Nueces de nogal,2017,0
Bahrein,No minero,Frutas y frutos ,Ciruelas,2017,0
Bahrein,No minero,Frutas y frutos ,Cerezas,2017,4770,6
Bahrein,No minero,Vitivinícola,Vinos,2017,260482,4
Bahrein,No minero,Vitivinícola,Mostos de uva,2017,125,38
Bahrein,No minero,Resto No minería,Resto No minería,2017,9967,75
Bahrein,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Bahrein,No minero,Otros productos relevantes,Medicamentos,2017,0
Bahrein,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,74,97
Bahrein,No minero,Otros alimentos,Miel,2017,0
Noruega,No minero,Vitivinícola,Vinos,2017,11275696,86
Noruega,No minero,Vitivinícola,Mostos de uva,2017,616419,39
Noruega,No minero,Vitivinícola,Vinos espumosos,2017,13120,11
Noruega,No minero,Frutas y frutos ,Manzanas,2017,4861823,16
Noruega,No minero,Frutas y frutos ,Ciruelas,2017,2396501,37
Noruega,No minero,Frutas y frutos ,Nueces de nogal,2017,0
Noruega,No minero,Frutas y frutos ,Uvas ,2017,802448,21
Noruega,No minero,Frutas y frutos ,Naranjas,2017,150199,09
Noruega,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,0
Noruega,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,0
Noruega,No minero,Productos del mar,Algas,2017,5761594,1
Noruega,No minero,Productos del mar,Grasas y aceites de pescado,2017,12226,67
Noruega,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Noruega,No minero,Productos del mar,Salmones y truchas,2017,0
Noruega,No minero,Productos del mar,Resto Productos del mar,2017,0
Noruega,No minero,Productos del mar,Moluscos,2017,0
Noruega,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,2969737,12
Noruega,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,700
Noruega,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,415,01
Noruega,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,1421164,72
Noruega,No minero,Resto No minería,Resto No minería,2017,3509049
Noruega,No minero,Otros alimentos,Tomates preprarados o conservados,2017,0
Noruega,No minero,Otros alimentos,Carnes de porcino,2017,0
Noruega,No minero,Otros alimentos,Resto Otros alimentos,2017,1977,65
Noruega,No minero,Otros alimentos,Hortalizas y tubérculos,2017,0
Noruega,No minero,Otros alimentos,Miel,2017,0
Noruega,No minero,Otros productos relevantes,Abonos,2017,0
Noruega,No minero,Otros productos relevantes,Medicamentos,2017,1233,22
Noruega,Minero,Minería,Yodo,2017,9635421,1
Noruega,Minero,Minería,Resto Minería,2017,116380,37
Grecia,Minero,Minería,Cobre,2017,70482675,38
Grecia,Minero,Minería,Resto Minería,2017,0
Grecia,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,4201602,43
Grecia,No minero,Productos del mar,Grasas y aceites de pescado,2017,109770
Grecia,No minero,Productos del mar,Salmones y truchas,2017,375936,88
Grecia,No minero,Productos del mar,Moluscos,2017,655654,54
Grecia,No minero,Productos del mar,Bacalaos,2017,0
Grecia,No minero,Productos del mar,Resto Productos del mar,2017,52052,53
Grecia,No minero,Frutas y frutos ,Nueces de nogal,2017,954975,39
Grecia,No minero,Frutas y frutos ,Ciruelas,2017,875066,57
Grecia,No minero,Frutas y frutos ,Kiwis,2017,632963,14
Grecia,No minero,Frutas y frutos ,Uvas ,2017,429906,72
Grecia,No minero,Frutas y frutos ,Manzanas,2017,0
Grecia,No minero,Frutas y frutos ,Peras,2017,261405,04
Grecia,No minero,Frutas y frutos ,Cerezas,2017,0
Grecia,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,25764
Grecia,No minero,Resto No minería,Resto No minería,2017,1516558,04
Grecia,No minero,Otros alimentos,Resto Otros alimentos,2017,1041518,65
Grecia,No minero,Otros alimentos,Tomates preprarados o conservados,2017,0
Grecia,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,0
Grecia,No minero,Otros alimentos,Carnes de otras especies,2017,0
Grecia,No minero,Otros alimentos,Carnes de bovino,2017,19573,55
Grecia,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,99571,62
Grecia,No minero,Otros productos relevantes,Nitratos de potasio,2017,231382
Grecia,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Grecia,No minero,Otros productos relevantes,Abonos,2017,9342,08
Grecia,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,168
Grecia,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,300
Grecia,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,103,29
Grecia,No minero,Vitivinícola,Vinos,2017,218125,21
Grecia,No minero,Vitivinícola,Vinos espumosos,2017,660
Grecia,No minero,Vitivinícola,Mostos de uva,2017,400
Portugal,No minero,Frutas y frutos ,Uvas ,2017,6576359,25
Portugal,No minero,Frutas y frutos ,Nueces de nogal,2017,5364270,25
Portugal,No minero,Frutas y frutos ,Manzanas,2017,1839512,14
Portugal,No minero,Frutas y frutos ,Kiwis,2017,1834806,44
Portugal,No minero,Frutas y frutos ,Ciruelas,2017,1357389,46
Portugal,No minero,Frutas y frutos ,Peras,2017,1374068,76
Portugal,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,154439,85
Portugal,No minero,Frutas y frutos ,Frambuesas y moras,2017,186117,81
Portugal,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,441224,1
Portugal,No minero,Frutas y frutos ,Limones,2017,667488,19
Portugal,No minero,Frutas y frutos ,Paltas,2017,0
Portugal,No minero,Frutas y frutos ,Cerezas,2017,21819,46
Portugal,No minero,Frutas y frutos ,Arándanos,2017,0
Portugal,No minero,Frutas y frutos ,Avellanas,2017,0
Portugal,No minero,Productos del mar,Salmones y truchas,2017,8275345,61
Portugal,No minero,Productos del mar,Resto Productos del mar,2017,2928185,94
Portugal,No minero,Productos del mar,Moluscos,2017,2851803,8
Portugal,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,1173738,94
Portugal,No minero,Productos del mar,Jureles,2017,2371,66
Portugal,No minero,Productos del mar,Grasas y aceites de pescado,2017,0
Portugal,No minero,Productos del mar,Bacalaos,2017,26164,39
Portugal,No minero,Resto No minería,Resto No minería,2017,7741258,46
Portugal,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,8150486,73
Portugal,No minero,Forestales y sus derivados,Celulosa,2017,1451113,68
Portugal,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,448769,77
Portugal,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,35883,17
Portugal,No minero,Otros alimentos,Tomates preprarados o conservados,2017,0
Portugal,No minero,Otros alimentos,Aceites de oliva,2017,1038327,22
Portugal,No minero,Otros alimentos,Carnes de otras especies,2017,407582,19
Portugal,No minero,Otros alimentos,Resto Otros alimentos,2017,117391,26
Portugal,No minero,Otros alimentos,Hortalizas y tubérculos,2017,50609,53
Portugal,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,125964,36
Portugal,No minero,Vitivinícola,Vinos,2017,209259,28
Portugal,No minero,Vitivinícola,Vinos espumosos,2017,0
Portugal,No minero,Vitivinícola,Mostos de uva,2017,148,54
Portugal,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Portugal,No minero,Otros productos relevantes,Medicamentos,2017,0
Portugal,No minero,Otros productos relevantes,Neumáticos,2017,0
Portugal,Minero,Minería,Resto Minería,2017,222689,69
Portugal,Minero,Minería,Minerales de cobre y sus concentrados,2017,300
Honduras,No minero,Otros alimentos,Resto Otros alimentos,2017,20189024,71
Honduras,No minero,Otros alimentos,Granos de avena,2017,28470
Honduras,No minero,Otros alimentos,Leche y otros productos lácteos,2017,703270,04
Honduras,No minero,Otros alimentos,Tomates preprarados o conservados,2017,245673,48
Honduras,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,0
Honduras,No minero,Otros alimentos,Hortalizas y tubérculos,2017,0
Honduras,No minero,Resto No minería,Resto No minería,2017,6098978,52
Honduras,No minero,Frutas y frutos ,Manzanas,2017,1492103,37
Honduras,No minero,Frutas y frutos ,Uvas ,2017,1900639,17
Honduras,No minero,Frutas y frutos ,Peras,2017,252091,79
Honduras,No minero,Frutas y frutos ,Kiwis,2017,67629,37
Honduras,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,77731,26
Honduras,No minero,Frutas y frutos ,Ciruelas,2017,57873,69
Honduras,No minero,Frutas y frutos ,Naranjas,2017,55682,05
Honduras,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,59625
Honduras,No minero,Frutas y frutos ,Cerezas,2017,12840,04
Honduras,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,0
Honduras,No minero,Frutas y frutos ,Limones,2017,0
Honduras,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,2159755,17
Honduras,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,839912,4
Honduras,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,696263,67
Honduras,No minero,Forestales y sus derivados,Celulosa,2017,14146
Honduras,No minero,Otros productos relevantes,Nitratos de potasio,2017,619544
Honduras,No minero,Otros productos relevantes,Medicamentos,2017,153308,61
Honduras,No minero,Otros productos relevantes,Abonos,2017,271374,48
Honduras,No minero,Otros productos relevantes,Semillas para siembra,2017,120343,92
Honduras,No minero,Otros productos relevantes,Neumáticos,2017,23644,1
Honduras,No minero,Vitivinícola,Vinos,2017,1294804
Honduras,No minero,Vitivinícola,Vinos espumosos,2017,27880
Honduras,No minero,Productos del mar,Grasas y aceites de pescado,2017,51920
Honduras,No minero,Productos del mar,Moluscos,2017,237442
Honduras,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,195
Honduras,No minero,Productos del mar,Resto Productos del mar,2017,54195,95
Honduras,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,35218,75
Bangladesh,No minero,Resto No minería,Resto No minería,2017,24023812,98
Bangladesh,No minero,Otros alimentos,Resto Otros alimentos,2017,0
Bangladesh,No minero,Otros alimentos,Miel,2017,0
Bangladesh,No minero,Frutas y frutos ,Manzanas,2017,2278986,3
Bangladesh,No minero,Frutas y frutos ,Uvas ,2017,75457,98
Bangladesh,No minero,Forestales y sus derivados,Celulosa,2017,2080827,44
Bangladesh,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,51629,76
Bangladesh,No minero,Productos del mar,Grasas y aceites de pescado,2017,0
Bangladesh,No minero,Productos del mar,Harinas de pescado,2017,0
Bangladesh,No minero,Productos del mar,Salmones y truchas,2017,0
Bangladesh,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Bangladesh,No minero,Otros productos relevantes,Ferroaleaciones,2017,0
Bangladesh,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Bangladesh,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,78963,83
Bangladesh,No minero,Vitivinícola,Vinos,2017,11284,64
Nicaragua,No minero,Otros alimentos,Resto Otros alimentos,2017,20213740,01
Nicaragua,No minero,Otros alimentos,Granos de avena,2017,151653,34
Nicaragua,No minero,Otros alimentos,Leche y otros productos lácteos,2017,471076,32
Nicaragua,No minero,Otros alimentos,Tomates preprarados o conservados,2017,103886,38
Nicaragua,No minero,Otros alimentos,Hortalizas y tubérculos,2017,0
Nicaragua,No minero,Otros alimentos,Aceites de oliva,2017,21292
Nicaragua,No minero,Resto No minería,Resto No minería,2017,6857195,5
Nicaragua,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,669055,94
Nicaragua,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,1136021,36
Nicaragua,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,36374,72
Nicaragua,No minero,Frutas y frutos ,Uvas ,2017,1055066,61
Nicaragua,No minero,Frutas y frutos ,Manzanas,2017,521984,16
Nicaragua,No minero,Frutas y frutos ,Ciruelas,2017,103270
Nicaragua,No minero,Frutas y frutos ,Peras,2017,62276,5
Nicaragua,No minero,Frutas y frutos ,Kiwis,2017,23785
Nicaragua,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,2640
Nicaragua,No minero,Frutas y frutos ,Naranjas,2017,16488
Nicaragua,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,9755
Nicaragua,No minero,Frutas y frutos ,Cerezas,2017,0
Nicaragua,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,0
Nicaragua,No minero,Frutas y frutos ,Limones,2017,4896
Nicaragua,No minero,Otros productos relevantes,Nitratos de potasio,2017,1182641,2
Nicaragua,No minero,Otros productos relevantes,Abonos,2017,676837,87
Nicaragua,No minero,Otros productos relevantes,Medicamentos,2017,253744,59
Nicaragua,No minero,Otros productos relevantes,Neumáticos,2017,33953,72
Nicaragua,No minero,Otros productos relevantes,Ferroaleaciones,2017,3105
Nicaragua,No minero,Vitivinícola,Vinos,2017,984563,5
Nicaragua,No minero,Vitivinícola,Vinos espumosos,2017,50395
Nicaragua,No minero,Vitivinícola,Mostos de uva,2017,345
Nicaragua,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,687874,12
Nicaragua,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Nicaragua,Minero,Minería,Resto Minería,2017,99456
Pakistán,No minero,Forestales y sus derivados,Celulosa,2017,21079579,73
Pakistán,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,0
Pakistán,No minero,Resto No minería,Resto No minería,2017,1704056,89
Pakistán,No minero,Frutas y frutos ,Nueces de nogal,2017,0
Pakistán,No minero,Otros alimentos,Resto Otros alimentos,2017,0
Pakistán,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,84132,6
Pakistán,No minero,Otros productos relevantes,Ferroaleaciones,2017,0
Pakistán,No minero,Otros productos relevantes,Abonos,2017,0
Pakistán,No minero,Otros productos relevantes,Medicamentos,2017,34284,9
Pakistán,No minero,Otros productos relevantes,Neumáticos,2017,30034,29
Pakistán,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Pakistán,No minero,Vitivinícola,Vinos,2017,0
Pakistán,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,3616,81
Pakistán,Minero,Minería,Cobre,2017,35010,5
Pakistán,Minero,Minería,Resto Minería,2017,8105,43
Costa de Marfil,No minero,Productos del mar,Jureles,2017,1644510
Costa de Marfil,No minero,Productos del mar,Resto Productos del mar,2017,43740
Costa de Marfil,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Costa de Marfil,No minero,Resto No minería,Resto No minería,2017,755377,56
Costa de Marfil,No minero,Frutas y frutos ,Uvas ,2017,111846,76
Costa de Marfil,No minero,Frutas y frutos ,Kiwis,2017,0
Costa de Marfil,No minero,Vitivinícola,Vinos,2017,79893,12
Costa de Marfil,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,0
Costa de Marfil,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,0
Costa de Marfil,No minero,Otros alimentos,Hortalizas y tubérculos,2017,0
Costa de Marfil,No minero,Otros alimentos,Carnes de porcino,2017,8321,61
Costa de Marfil,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,1,61
Cuba,No minero,Otros alimentos,Resto Otros alimentos,2017,5304447,88
Cuba,No minero,Otros alimentos,Cecinas y embutidos,2017,5076208,97
Cuba,No minero,Otros alimentos,Carnes de bovino,2017,1907029,61
Cuba,No minero,Otros alimentos,Leche y otros productos lácteos,2017,1924767,16
Cuba,No minero,Otros alimentos,Tomates preprarados o conservados,2017,105329,6
Cuba,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,2283,69
Cuba,No minero,Otros alimentos,Carnes de porcino,2017,66623,11
Cuba,No minero,Otros alimentos,Hortalizas y tubérculos,2017,1485,87
Cuba,No minero,Otros alimentos,Carnes de ave,2017,0
Cuba,No minero,Otros alimentos,Aceites de oliva,2017,2821,05
Cuba,No minero,Otros alimentos,Granos de avena,2017,0
Cuba,No minero,Productos del mar,Jureles,2017,4247907,83
Cuba,No minero,Productos del mar,Salmones y truchas,2017,19,08
Cuba,No minero,Productos del mar,Harinas de pescado,2017,0
Cuba,No minero,Productos del mar,Resto Productos del mar,2017,334070,13
Cuba,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,2,5
Cuba,No minero,Productos del mar,Bacalaos,2017,0
Cuba,No minero,Resto No minería,Resto No minería,2017,4639558,19
Cuba,No minero,Vitivinícola,Vinos,2017,3839815,01
Cuba,No minero,Vitivinícola,Mostos de uva,2017,107898,66
Cuba,No minero,Vitivinícola,Vinos espumosos,2017,28161
Cuba,No minero,Frutas y frutos ,Manzanas,2017,599351,55
Cuba,No minero,Frutas y frutos ,Uvas ,2017,94450
Cuba,No minero,Frutas y frutos ,Naranjas,2017,0
Cuba,No minero,Frutas y frutos ,Peras,2017,24982
Cuba,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,0
Cuba,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,0
Cuba,No minero,Frutas y frutos ,Frambuesas y moras,2017,0
Cuba,No minero,Frutas y frutos ,Arándanos,2017,0
Cuba,No minero,Frutas y frutos ,Kiwis,2017,0
Cuba,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,371654,81
Cuba,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,48897,24
Cuba,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,220216,74
Cuba,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,16102,2
Cuba,No minero,Otros productos relevantes,Medicamentos,2017,527,32
Cuba,No minero,Otros productos relevantes,Abonos,2017,39881,18
Cuba,No minero,Otros productos relevantes,Neumáticos,2017,320
Cuba,Minero,Minería,Resto Minería,2017,3320
Ucrania,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,7325441,14
Ucrania,No minero,Productos del mar,Salmones y truchas,2017,2967745,11
Ucrania,No minero,Productos del mar,Resto Productos del mar,2017,752776,42
Ucrania,No minero,Productos del mar,Jureles,2017,119338
Ucrania,No minero,Productos del mar,Moluscos,2017,447897,11
Ucrania,No minero,Productos del mar,Bacalaos,2017,0
Ucrania,No minero,Vitivinícola,Vinos,2017,2760129,72
Ucrania,No minero,Vitivinícola,Mostos de uva,2017,109692,97
Ucrania,No minero,Vitivinícola,Vinos espumosos,2017,0
Ucrania,No minero,Frutas y frutos ,Nueces de nogal,2017,989233,05
Ucrania,No minero,Frutas y frutos ,Uvas ,2017,162235,89
Ucrania,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,316650
Ucrania,No minero,Frutas y frutos ,Kiwis,2017,162779
Ucrania,No minero,Frutas y frutos ,Ciruelas,2017,104677,72
Ucrania,No minero,Frutas y frutos ,Arándanos,2017,0
Ucrania,No minero,Frutas y frutos ,Manzanas,2017,0
Ucrania,No minero,Frutas y frutos ,Peras,2017,0
Ucrania,No minero,Frutas y frutos ,Cerezas,2017,9126,4
Ucrania,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,132
Ucrania,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,16400
Ucrania,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,0
Ucrania,No minero,Otros productos relevantes,Medicamentos,2017,101702,1
Ucrania,No minero,Otros productos relevantes,Semillas para siembra,2017,502,59
Ucrania,No minero,Resto No minería,Resto No minería,2017,362629,15
Ucrania,No minero,Otros alimentos,Resto Otros alimentos,2017,212251,18
Ucrania,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,4927,89
Lituania,No minero,Productos del mar,Salmones y truchas,2017,2349082,46
Lituania,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,984285,19
Lituania,No minero,Productos del mar,Resto Productos del mar,2017,147656,49
Lituania,No minero,Productos del mar,Moluscos,2017,44980
Lituania,No minero,Productos del mar,Jureles,2017,0
Lituania,No minero,Frutas y frutos ,Uvas ,2017,2020584,42
Lituania,No minero,Frutas y frutos ,Ciruelas,2017,2284494,64
Lituania,No minero,Frutas y frutos ,Nueces de nogal,2017,1586995,65
Lituania,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,381075
Lituania,No minero,Frutas y frutos ,Kiwis,2017,299155
Lituania,No minero,Frutas y frutos ,Manzanas,2017,43317,5
Lituania,No minero,Frutas y frutos ,Frutillas,2017,12817,44
Lituania,No minero,Frutas y frutos ,Peras,2017,7951,52
Lituania,No minero,Vitivinícola,Vinos,2017,4521777,38
Lituania,No minero,Vitivinícola,Vinos espumosos,2017,17741,53
Lituania,No minero,Vitivinícola,Mostos de uva,2017,0
Lituania,No minero,Otros alimentos,Resto Otros alimentos,2017,834732,55
Lituania,No minero,Otros alimentos,Cecinas y embutidos,2017,1938581,23
Lituania,No minero,Otros alimentos,Carnes de porcino,2017,0
Lituania,No minero,Otros alimentos,Tomates preprarados o conservados,2017,22003,52
Lituania,No minero,Resto No minería,Resto No minería,2017,81297,85
Lituania,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,0
Lituania,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,0
Lituania,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,4594,45
Lituania,No minero,Otros productos relevantes,Nitratos de potasio,2017,0
Lituania,No minero,Otros productos relevantes,Alambres de cobre,2017,0
Lituania,No minero,Otros productos relevantes,Abonos,2017,0
Lituania,No minero,Otros productos relevantes,Medicamentos,2017,0
Lituania,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Lituania,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,5602,54
Lituania,Minero,Minería,Resto Minería,2017,0
Ghana,No minero,Productos del mar,Jureles,2017,2705175
Ghana,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,224099,2
Ghana,No minero,Resto No minería,Resto No minería,2017,2912401,34
Ghana,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,1207555,28
Ghana,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,0
Ghana,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,0
Ghana,No minero,Otros alimentos,Carnes de ave,2017,0
Ghana,No minero,Otros alimentos,Carnes de otras especies,2017,0
Ghana,No minero,Vitivinícola,Vinos,2017,114140,46
Ghana,No minero,Vitivinícola,Vinos espumosos,2017,0
Ghana,No minero,Vitivinícola,Mostos de uva,2017,0
Ghana,No minero,Frutas y frutos ,Uvas ,2017,63598
Ghana,No minero,Otros productos relevantes,Nitratos de potasio,2017,0
Ghana,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,250,28
Trinidad y Tobago,No minero,Forestales y sus derivados,Celulosa,2017,9307188,02
Trinidad y Tobago,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,3155856,96
Trinidad y Tobago,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,304886,3
Trinidad y Tobago,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,80416,61
Trinidad y Tobago,No minero,Otros alimentos,Resto Otros alimentos,2017,4030506,49
Trinidad y Tobago,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,302277,73
Trinidad y Tobago,No minero,Otros alimentos,Tomates preprarados o conservados,2017,154294,35
Trinidad y Tobago,No minero,Otros alimentos,Granos de avena,2017,0
Trinidad y Tobago,No minero,Otros alimentos,Leche y otros productos lácteos,2017,30180,48
Trinidad y Tobago,No minero,Resto No minería,Resto No minería,2017,811672,55
Trinidad y Tobago,No minero,Frutas y frutos ,Ciruelas,2017,534772,56
Trinidad y Tobago,No minero,Frutas y frutos ,Uvas ,2017,141862,89
Trinidad y Tobago,No minero,Frutas y frutos ,Arándanos,2017,0
Trinidad y Tobago,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,0
Trinidad y Tobago,No minero,Frutas y frutos ,Kiwis,2017,0
Trinidad y Tobago,No minero,Frutas y frutos ,Manzanas,2017,0
Trinidad y Tobago,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,185126,75
Trinidad y Tobago,No minero,Vitivinícola,Vinos,2017,375065,01
Trinidad y Tobago,No minero,Vitivinícola,Vinos espumosos,2017,2263
Trinidad y Tobago,No minero,Productos del mar,Salmones y truchas,2017,0
Trinidad y Tobago,No minero,Productos del mar,Resto Productos del mar,2017,0
Trinidad y Tobago,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,0
Trinidad y Tobago,No minero,Otros productos relevantes,Semillas para siembra,2017,0
Trinidad y Tobago,No minero,Otros productos relevantes,Abonos,2017,0
Trinidad y Tobago,No minero,Otros productos relevantes,Medicamentos,2017,0
Trinidad y Tobago,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,0
Trinidad y Tobago,Minero,Minería,Resto Minería,2017,0
Omán,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,10723218,38
Omán,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,25
Omán,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,0
Omán,No minero,Frutas y frutos ,Uvas ,2017,580376,99
Omán,No minero,Frutas y frutos ,Manzanas,2017,870505,29
Omán,No minero,Frutas y frutos ,Ciruelas,2017,0
Omán,No minero,Frutas y frutos ,Kiwis,2017,0
Omán,No minero,Frutas y frutos ,Peras,2017,42497
Omán,No minero,Frutas y frutos ,Nueces de nogal,2017,0
Omán,No minero,Otros alimentos,Tomates preprarados o conservados,2017,1410875,46
Omán,No minero,Otros alimentos,Miel,2017,0
Omán,No minero,Otros alimentos,Resto Otros alimentos,2017,0
Omán,No minero,Resto No minería,Resto No minería,2017,68930,05
Omán,No minero,Vitivinícola,Vinos,2017,60031
Omán,No minero,Vitivinícola,Mostos de uva,2017,0
Omán,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,913,7
Omán,Minero,Minería,Minerales de cobre y sus concentrados,2017,0
Egipto,No minero,Resto No minería,Resto No minería,2017,2496738,57
Egipto,No minero,Forestales y sus derivados,Celulosa,2017,430089,87
Egipto,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,28227,55
Egipto,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,14330,08
Egipto,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,91388,22
Egipto,No minero,Productos del mar,Salmones y truchas,2017,1631446,26
Egipto,No minero,Productos del mar,Jureles,2017,351000
