Country,1 category,2 category,Product,Year,Income in USD
Estados Unidos de América,No minero,Frutas y frutos ,Nueces de nogal,2017,1308397,39
Estados Unidos de América,No minero,Frutas y frutos ,Maquis,2017,475499,95
Estados Unidos de América,No minero,Frutas y frutos ,Avellanas,2017,105
Estados Unidos de América,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,752594528
Estados Unidos de América,No minero,Forestales y sus derivados,Celulosa,2017,56212444,49
Estados Unidos de América,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,29109679,05
Estados Unidos de América,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,6417588
Estados Unidos de América,No minero,Resto No minería,Resto No minería,2017,651840182,3
Estados Unidos de América,No minero,Otros productos relevantes,Neumáticos,2017,277716183,2
Estados Unidos de América,No minero,Otros productos relevantes,Ferroaleaciones,2017,41283714,48
Estados Unidos de América,No minero,Otros productos relevantes,Semillas para siembra,2017,57613696,27
Estados Unidos de América,No minero,Otros productos relevantes,Nitratos de potasio,2017,52400676,3
Estados Unidos de América,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2017,26661873,12
Estados Unidos de América,No minero,Otros productos relevantes,Abonos,2017,33412362,02
Estados Unidos de América,No minero,Otros productos relevantes,Medicamentos,2017,3749825,63
Estados Unidos de América,No minero,Otros productos relevantes,Alambres de cobre,2017,3335751,01
Estados Unidos de América,No minero,Otros productos relevantes,Metanol,2017,0
Estados Unidos de América,No minero,Otros alimentos,Resto Otros alimentos,2017,130541791,8
Estados Unidos de América,No minero,Otros alimentos,Carnes de ave,2017,91266003,67
Estados Unidos de América,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,65699085,35
Estados Unidos de América,No minero,Otros alimentos,Leche y otros productos lácteos,2017,25398434,99
Estados Unidos de América,No minero,Otros alimentos,Aceites de oliva,2017,32145891,85
Estados Unidos de América,No minero,Otros alimentos,Hortalizas y tubérculos,2017,16303215,95
Estados Unidos de América,No minero,Otros alimentos,Carnes de porcino,2017,7134495,16
Estados Unidos de América,No minero,Otros alimentos,Carnes de otras especies,2017,5023504,99
Estados Unidos de América,No minero,Otros alimentos,Tomates preprarados o conservados,2017,132882,13
Estados Unidos de América,No minero,Otros alimentos,Granos de avena,2017,13114,07
Estados Unidos de América,No minero,Otros alimentos,Carnes de bovino,2017,1581600,58
Estados Unidos de América,No minero,Otros alimentos,Cecinas y embutidos,2017,108438,98
Estados Unidos de América,No minero,Otros alimentos,Miel,2017,61042,44
Estados Unidos de América,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,286581639,7
Estados Unidos de América,No minero,Vitivinícola,Vinos,2017,168982574,2
Estados Unidos de América,No minero,Vitivinícola,Mostos de uva,2017,76206510,74
Estados Unidos de América,No minero,Vitivinícola,Vinos espumosos,2017,276295,71
Estados Unidos de América,Minero,Minería,Cobre,2017,3001081266
Estados Unidos de América,Minero,Minería,Plata,2017,167818175,4
Estados Unidos de América,Minero,Minería,Oro,2017,197973944,2
Estados Unidos de América,Minero,Minería,Yodo,2017,69527222,35
Estados Unidos de América,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,97365675,85
Estados Unidos de América,Minero,Minería,Minerales de molibdeno y sus concentrados,2017,120299503,9
Estados Unidos de América,Minero,Minería,Litio,2017,41215661,28
Estados Unidos de América,Minero,Minería,Minerales de hierro y sus concentrados,2017,20499191,09
Estados Unidos de América,Minero,Minería,Resto Minería,2017,17486689,98
Estados Unidos de América,Minero,Minería,Minerales de cobre y sus concentrados,2017,18013614,39
Estados Unidos de América,Minero,Minería,Minerales de oro y sus concentrados,2017,0
Estados Unidos de América,(en blanco),(en blanco),(en blanco),2017,0
Japón,Minero,Minería,Minerales de cobre y sus concentrados,2017,3087004735
Japón,Minero,Minería,Minerales de molibdeno y sus concentrados,2017,277358249,3
Japón,Minero,Minería,Litio,2017,139366071,8
Japón,Minero,Minería,Minerales de hierro y sus concentrados,2017,148502773,1
Japón,Minero,Minería,Cobre,2017,127302913,8
Japón,Minero,Minería,Yodo,2017,6525336,75
Japón,Minero,Minería,Resto Minería,2017,12126352,69
Japón,Minero,Minería,Plata,2017,0
Japón,Minero,Minería,Minerales de cinc y sus concentrados,2017,56707,32
Japón,Minero,Minería,Minerales de oro y sus concentrados,2017,0
Japón,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,0
Japón,No minero,Productos del mar,Salmones y truchas,2017,996433602,5
Japón,No minero,Productos del mar,Erizos,2017,69325428,18
Japón,No minero,Productos del mar,Harinas de pescado,2017,36371097,8
Japón,No minero,Productos del mar,Moluscos,2017,26076509,06
Japón,No minero,Productos del mar,Grasas y aceites de pescado,2017,11449920,25
Japón,No minero,Productos del mar,Resto Productos del mar,2017,12046823,81
Japón,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,9291834
Japón,No minero,Productos del mar,Algas,2017,10407918,55
Japón,No minero,Productos del mar,Bacalaos,2017,840459,82
Japón,No minero,Productos del mar,Jureles,2017,0
Japón,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,306614894,5
Japón,No minero,Forestales y sus derivados,Celulosa,2017,83957314,72
Japón,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,28701,59
Japón,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,7464,66
Japón,No minero,Otros alimentos,Carnes de porcino,2017,115335644,4
Japón,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,37225022,92
Japón,No minero,Otros alimentos,Cecinas y embutidos,2017,8620514,71
Japón,No minero,Otros alimentos,Tomates preprarados o conservados,2017,11669531,33
Japón,No minero,Otros alimentos,Hortalizas y tubérculos,2017,6793602,88
Japón,No minero,Otros alimentos,Resto Otros alimentos,2017,5311020,25
Japón,No minero,Otros alimentos,Carnes de bovino,2017,3815648,02
Japón,No minero,Otros alimentos,Aceites de oliva,2017,457583,31
Japón,No minero,Otros alimentos,Carnes de ave,2017,22546,61
Japón,No minero,Otros alimentos,Leche y otros productos lácteos,2017,84476,7
Japón,No minero,Otros alimentos,Granos de avena,2017,0
Japón,No minero,Otros alimentos,Carnes de otras especies,2017,0
Japón,No minero,Otros alimentos,Miel,2017,5265
Japón,No minero,Vitivinícola,Vinos,2017,161104398,8
Japón,No minero,Vitivinícola,Mostos de uva,2017,33318326,15
Japón,No minero,Vitivinícola,Vinos espumosos,2017,12358939,4
Japón,No minero,Frutas y frutos ,Uvas ,2017,26536171,71
Japón,No minero,Frutas y frutos ,Limones,2017,28581124,9
Japón,No minero,Frutas y frutos ,Frutillas,2017,10016317,5
Japón,No minero,Frutas y frutos ,Arándanos,2017,5462086,17
Japón,No minero,Frutas y frutos ,Kiwis,2017,5732798,74
Japón,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,3051446,25
Japón,No minero,Frutas y frutos ,Nueces de nogal,2017,3164743,05
Japón,No minero,Frutas y frutos ,Frambuesas y moras,2017,2238340,3
Japón,No minero,Frutas y frutos ,Cerezas,2017,347163,3
Japón,No minero,Frutas y frutos ,Ciruelas,2017,148513,33
Japón,No minero,Frutas y frutos ,Paltas,2017,232048,24
Japón,No minero,Frutas y frutos ,Manzanas,2017,375672,02
Japón,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,4173,09
Japón,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,51575,41
Japón,No minero,Frutas y frutos ,Naranjas,2017,0
Japón,No minero,Frutas y frutos ,Maquis,2017,0
Japón,No minero,Otros productos relevantes,Semillas para siembra,2017,33911206,47
Japón,No minero,Otros productos relevantes,Ferroaleaciones,2017,12696190,74
Japón,No minero,Otros productos relevantes,Abonos,2017,10500807,86
Japón,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2017,774758,96
Japón,No minero,Otros productos relevantes,Nitratos de potasio,2017,4759478,18
Japón,No minero,Otros productos relevantes,Alambres de cobre,2017,649731,42
Japón,No minero,Otros productos relevantes,Neumáticos,2017,10740,85
Japón,No minero,Otros productos relevantes,Medicamentos,2017,0
Japón,No minero,Resto No minería,Resto No minería,2017,61171068,22
Japón,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,9499957,48
Corea del Sur,Minero,Minería,Cobre,2017,1446976462
Corea del Sur,Minero,Minería,Minerales de cobre y sus concentrados,2017,1308565454
Corea del Sur,Minero,Minería,Litio,2017,241798068,7
Corea del Sur,Minero,Minería,Minerales de molibdeno y sus concentrados,2017,190298113,3
Corea del Sur,Minero,Minería,Minerales de hierro y sus concentrados,2017,97913676,24
Corea del Sur,Minero,Minería,Minerales de cinc y sus concentrados,2017,18178288,81
Corea del Sur,Minero,Minería,Resto Minería,2017,18033481,71
Corea del Sur,Minero,Minería,Yodo,2017,21871149,64
Corea del Sur,Minero,Minería,Minerales de plomo y sus concentrados,2017,1809115,17
Corea del Sur,No minero,Forestales y sus derivados,Celulosa,2017,257719175,8
Corea del Sur,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,122043864
Corea del Sur,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,449604,73
Corea del Sur,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,1426,07
Corea del Sur,No minero,Otros alimentos,Carnes de porcino,2017,112447923,8
Corea del Sur,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,12873630,58
Corea del Sur,No minero,Otros alimentos,Leche y otros productos lácteos,2017,5302666,83
Corea del Sur,No minero,Otros alimentos,Resto Otros alimentos,2017,8562227,75
Corea del Sur,No minero,Otros alimentos,Carnes de bovino,2017,2202674,91
Corea del Sur,No minero,Otros alimentos,Tomates preprarados o conservados,2017,3172217,31
Corea del Sur,No minero,Otros alimentos,Carnes de ave,2017,1099660,96
Corea del Sur,No minero,Otros alimentos,Hortalizas y tubérculos,2017,7012,5
Corea del Sur,No minero,Otros alimentos,Cecinas y embutidos,2017,13724,27
Corea del Sur,No minero,Otros alimentos,Aceites de oliva,2017,0
Corea del Sur,No minero,Otros alimentos,Miel,2017,576
Corea del Sur,No minero,Productos del mar,Harinas de pescado,2017,47187695,61
Corea del Sur,No minero,Productos del mar,Salmones y truchas,2017,50468693,73
Corea del Sur,No minero,Productos del mar,Moluscos,2017,37002947,56
Corea del Sur,No minero,Productos del mar,Grasas y aceites de pescado,2017,4429015,25
Corea del Sur,No minero,Productos del mar,Resto Productos del mar,2017,2892720,56
Corea del Sur,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,1600671,27
Corea del Sur,No minero,Productos del mar,Bacalaos,2017,1667421,75
Corea del Sur,No minero,Productos del mar,Algas,2017,1383915,93
Corea del Sur,No minero,Productos del mar,Erizos,2017,68435,42
Corea del Sur,No minero,Productos del mar,Jureles,2017,8628
Corea del Sur,No minero,Frutas y frutos ,Uvas ,2017,77396774,31
Corea del Sur,No minero,Frutas y frutos ,Cerezas,2017,8790700,13
Corea del Sur,No minero,Frutas y frutos ,Arándanos,2017,16111759,89
Corea del Sur,No minero,Frutas y frutos ,Limones,2017,6277142,05
Corea del Sur,No minero,Frutas y frutos ,Kiwis,2017,5949867,65
Corea del Sur,No minero,Frutas y frutos ,Nueces de nogal,2017,3714997,84
Corea del Sur,No minero,Frutas y frutos ,Frutillas,2017,676453,11
Corea del Sur,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,1665770,97
Corea del Sur,No minero,Frutas y frutos ,Frambuesas y moras,2017,754702,8
Corea del Sur,No minero,Frutas y frutos ,Naranjas,2017,1010664,94
Corea del Sur,No minero,Frutas y frutos ,Paltas,2017,0
Corea del Sur,No minero,Frutas y frutos ,Maquis,2017,179608
Corea del Sur,No minero,Frutas y frutos ,Ciruelas,2017,61579,88
Corea del Sur,No minero,Frutas y frutos ,Manzanas,2017,4214,5
Corea del Sur,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,2700
Corea del Sur,No minero,Vitivinícola,Vinos,2017,37949462,5
Corea del Sur,No minero,Vitivinícola,Vinos espumosos,2017,357709,28
Corea del Sur,No minero,Vitivinícola,Mostos de uva,2017,792677,22
